Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
410,New York,Brookville,Brookville,WCWP,FM,88.1,@wcwpsports,,Twitter,both,Emptyatload
411,New York,Buffalo,Buffalo,WBFO,FM,88.7,@wbfo,,Twitter,both,Emptyatload
414,New York,Canajoharie,Canajoharie,WCAN,FM,93.3,None,,Twitter,both,Emptyatload
415,New York,Canton,Canton,WSLU,FM,89.5,@ncpr,,Twitter,both,Emptyatload
416,New York,Corning,Corning,WSQE,FM,91.1,None,,Twitter,both,Emptyatload
418,New York,Hornell,Hornell,WSQA,FM,88.7,None,,Twitter,both,Emptyatload
420,New York,Ithaca,Ithaca,WSQG,FM,90.9,@wskg,,Twitter,both,Emptyatload
421,New York,Jamestown,Jamestown,WUBJ,FM,88.1,@wbfo,,Twitter,both,Emptyatload
422,New York,Jeffersonville,Jeffersonville,WJFF,FM,90.5,@wjffradio,,Twitter,both,Emptyatload
423,New York,Kingston,Kingston,WAMK,FM,90.9,None,,Twitter,both,Emptyatload
424,New York,Malone,Malone,WSLO,FM,90.9,None,,Twitter,both,Emptyatload
425,New York,Middletown,Middletown,WOSR,FM,91.7,None,,Twitter,both,Emptyatload
426,New York,New York City,New York City,WFUV,FM,90.7,@wfuv,,Twitter,both,Emptyatload
427,New York,New York City,New York City,WNYC,AM,820,@wnyc,,Twitter,both,Emptyatload
428,New York,New York City,New York City,WNYC,FM,93.9,@wnyc,,Twitter,both,Emptyatload
429,New York,North Creek,North Creek,WXLG,FM,89.9,None,,Twitter,both,Emptyatload
430,New York,Olean,Olean,WOLN,FM,91.3,@wbfo,,Twitter,both,Emptyatload
431,New York,Oneonta,Oneonta,WSQC,FM,91.7,None,,Twitter,both,Emptyatload
432,New York,Oswego,Oswego,WRVO,FM,89.9,@WRVO,,Twitter,both,Emptyatload
433,New York,Oswego,Oswego,WRVD,FM,90.3,None,,Twitter,both,Emptyatload
435,New York,Plattsburgh,Plattsburgh,WCEL,FM,91.9,@WMACradio,,Twitter,both,Emptyatload
436,New York,Poughkeepsie,Poughkeepsie,WRHV,FM,88.7,@wwfmclassical,,Twitter,both,Emptyatload
437,New York,Rochester,Rochester,WXXI,AM,1370,@WXXInews,,Twitter,both,Emptyatload
438,New York,Rochester,Rochester,WXXI,FM,91.5,@WXXInews,,Twitter,both,Emptyatload
439,New York,Saranac Lake,Saranac Lake,WSLL,FM,90.5,@ncpr,,Twitter,both,Emptyatload
440,New York,Schenectady,Schenectady,WMHT,FM,89.1,@wmhtpubmedia,,Twitter,both,Emptyatload
441,New York,Selden,Selden,WSUF,FM,89.9,@wshunews,,Twitter,both,Emptyatload
443,New York,Southampton,Southampton,WRLI,FM,91.3,None,,Twitter,both,Emptyatload
444,New York,Syracuse,Syracuse,WAER,FM,88.3,@waer883,,Twitter,both,Emptyatload
445,New York,Syracuse,Syracuse,WCNY,FM,91.3,@wcny,,Twitter,both,Emptyatload
446,New York,Ticonderoga,Ticonderoga,WANC,FM,103.9,None,,Twitter,both,Emptyatload
447,New York,Utica,Utica,WRVN,FM,91.9,None,,Twitter,both,Emptyatload
448,New York,Utica,Utica,WUNY,FM,89.5,@wcny,,Twitter,both,Emptyatload
449,New York,Watertown,Watertown,WJNY,FM,90.9,None,,Twitter,both,Emptyatload
450,New York,Watertown,Watertown,WRVJ,FM,91.7,None,,Twitter,both,Emptyatload
451,New York,Watertown,Watertown,WSLJ,FM,88.9,None,,Twitter,both,Emptyatload
412,New York,Buffalo,,WNED,AM,970,@wned,,Twitter,left_only,Emptyatload
413,New York,Buffalo,,WNED,FM,89.3,@wned,,Twitter,left_only,Emptyatload
417,New York,Geneva,,WEOS,FM,89.7,@WEOSmorning,,Twitter,left_only,Emptyatload
419,New York,Houghton,,WJSL,FM,90.3,None,,Twitter,left_only,Emptyatload
434,New York,Peru,,WXLU,FM,88.3,None,,Twitter,left_only,Emptyatload
442,New York,Southampton,,WLIU,FM,88.3,@WLIU_BK,,Twitter,left_only,Emptyatload
887,New York,,Albany,WAMC,AM,1400,None,,Twitter,right_only,Emptyatload
888,New York,,Boonville,WXLB,FM,91.7,@ncpr,,Twitter,right_only,Emptyatload
889,New York,,Buffalo,WNED,FM,94.5,@wned,@wnedtv,Twitter,right_only,Emptyatload
890,New York,,Cape Vincent,WSLZ,FM,88.1,None,,Twitter,right_only,Emptyatload
