,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
247,California,Hercules,38.0171441,-122.2885808,0.0,1.0,1.0,0.0,0.0,2.0
248,California,Hermosa Beach,33.8622366,-118.3995194,1.0,0.0,0.0,1.0,0.0,2.0
249,California,Hesperia,34.4263886,-117.3008784,1.0,0.0,1.0,0.0,0.0,2.0
250,California,Highland,34.1283442,-117.2086513,1.0,0.0,2.0,0.0,1.0,4.0
251,California,Hollister,36.8524545,-121.4016021,0.0,0.0,0.0,0.0,0.0,0.0
252,California,Holtville,32.8111612,-115.3802643,0.0,1.0,0.0,0.0,0.0,1.0
253,California,Hughson,37.6027244,-120.8664811,1.0,0.0,0.0,0.0,0.0,1.0
254,California,Humboldt State University,40.8752748,-124.077821,0.0,0.0,0.0,2.0,2.0,4.0
255,California,Huntington Beach,33.6594835,-117.9988026,8.0,0.0,3.0,2.0,6.0,19.0
256,California,Huntington Park,33.9816812,-118.2250725,0.0,0.0,0.0,3.0,0.0,3.0
257,California,Imperial,32.8475528,-115.5694391,0.0,0.0,0.0,1.0,0.0,1.0
258,California,Imperial Beach,32.5839444,-117.1130849,0.0,2.0,1.0,1.0,0.0,4.0
259,California,Indio,33.7205771,-116.2155619,0.0,0.0,0.0,1.0,0.0,1.0
260,California,Industry,34.0197335,-117.9586754,0.0,0.0,0.0,1.0,0.0,1.0
261,California,Inglewood,33.9616801,-118.3531311,0.0,0.0,0.0,0.0,0.0,0.0
262,California,Ione,38.3526912,-120.9327177,0.0,0.0,1.0,0.0,0.0,1.0
263,California,Irvine,33.6845673,-117.8265049,3.0,1.0,4.0,2.0,2.0,12.0
264,California,Irvine,33.6845673,-117.8265049,1.0,1.0,4.0,2.0,2.0,10.0
265,California,Jurupa Valley,33.9971974,-117.4854802,0.0,1.0,0.0,1.0,1.0,3.0
266,California,Kerman,36.72355719999999,-120.059879,0.0,0.0,0.0,0.0,0.0,0.0
267,California,Kingsburg,36.5138398,-119.5540175,0.0,0.0,0.0,0.0,1.0,1.0
268,California,La Habra,33.9318591,-117.946137,0.0,1.0,0.0,0.0,1.0,2.0
269,California,La Mesa,32.7678287,-117.0230839,1.0,0.0,0.0,0.0,3.0,4.0
270,California,La Mirada,33.9172357,-118.0120086,1.0,3.0,0.0,2.0,2.0,8.0
271,California,La Puente,34.0200114,-117.9495083,0.0,0.0,1.0,0.0,0.0,1.0
272,California,La Quinta,33.6633573,-116.3100095,0.0,2.0,2.0,0.0,0.0,4.0
273,California,Laguna Beach,33.5427189,-117.7853568,0.0,0.0,0.0,1.0,1.0,2.0
274,California,Laguna Hills,33.5916433,-117.6986604,1.0,0.0,0.0,0.0,0.0,1.0
275,California,Laguna Niguel,33.5236744,-117.7149438,0.0,0.0,1.0,0.0,0.0,1.0
276,California,Lake Elsinore,33.6680772,-117.3272615,0.0,2.0,0.0,0.0,1.0,3.0
277,California,Lake Forest,33.6469437,-117.6861023,1.0,2.0,1.0,4.0,0.0,8.0
278,California,Lakewood,33.8536269,-118.1339563,3.0,2.0,0.0,2.0,3.0,10.0
279,California,Lancaster,34.6867846,-118.1541632,7.0,5.0,3.0,5.0,5.0,25.0
280,California,Lawndale,33.887237,-118.3525744,1.0,0.0,0.0,0.0,0.0,1.0
281,California,Lemon Grove,32.7425516,-117.0314172,1.0,1.0,0.0,0.0,0.0,2.0
282,California,Lemoore,36.3007835,-119.7829107,0.0,1.0,0.0,1.0,0.0,2.0
283,California,Livermore,37.6818745,-121.7680088,3.0,1.0,2.0,4.0,0.0,10.0
284,California,Livingston,37.3868826,-120.7235329,0.0,0.0,0.0,0.0,0.0,0.0
285,California,Lodi,38.1341477,-121.2722194,2.0,2.0,0.0,2.0,0.0,6.0
