City,State,Station Identifier,AM/FM Number,AM/FM Number
Eugene,Oregon,KRVM,AM,1280
Florence,Oregon,KLFO,FM,88.1
Gresham,Oregon,KMHD,FM,89.1
Klamath Falls,Oregon,KSKF,FM,90.9
Newport,Oregon,KLCO,FM,90.5
Pendleton,Oregon,KRBM,FM,90.9
Portland,Oregon,KOPB,FM,91.5
Reedsport,Oregon,KLFR,FM,89.1
Roseburg,Oregon,KSRS,FM,91.5
Allentown,Pennsylvania,WDIY,FM,88.1
Erie,Pennsylvania,WQLN,FM,91.3
Harrisburg,Pennsylvania,WITF,FM,89.5
Harrisburg,Pennsylvania,WJAZ,FM,91.7
Harrisburg,Pennsylvania,WXPH,FM,88.1
Huntingdon,Pennsylvania,WKVR,FM,92.3
Johnstown,Pennsylvania,WQEJ,FM,89.7
Kane,Pennsylvania,WPSB,FM,90.1
Mt. Pocono,Pennsylvania,WRTY,FM,91.1
Philadelphia,Pennsylvania,WHYY,FM,90.9
Philadelphia,Pennsylvania,WRTI,FM,90.1
Philadelphia,Pennsylvania,WXPN,FM,88.5
Pittsburgh,Pennsylvania,WDUQ,FM,90.5
Pittsburgh,Pennsylvania,WQED,FM,89.3
Pittsburgh,Pennsylvania,WYEP,FM,91.3
Scranton,Pennsylvania,WVIA,FM,89.9
State College,Pennsylvania,WPSU,FM,91.5
Rio Piedras,Puerto Rico,WRTU,FM,89.7
San Juan,Puerto Rico,WOSO,AM,1030
North Providence,Rhode Island,WRNI,AM,1290
Westerly,Rhode Island,WXNI,AM,1230
Aiken,South Carolina,WLJK,FM,89.1
Beaufort,South Carolina,WJWJ,FM,89.9
Charleston,South Carolina,WSCI,FM,89.3
Columbia,South Carolina,WLTR,FM,91.3
Conway,South Carolina,WHMC,FM,90.1
Greenville,South Carolina,WEPR,FM,90.1
Orangeburg,South Carolina,WSSB,FM,90.3
Rock Hill,South Carolina,WNSC,FM,88.9
Sumter,South Carolina,WRJA,FM,88.1
Brookings,South Dakota,KESD,FM,88.3
Faith,South Dakota,KPSD,FM,97.1
Lowry,South Dakota,KQSD,FM,91.9
Martin,South Dakota,KZSD,FM,102.5
Pierpont,South Dakota,KDSD,FM,90.9
Rapid City,South Dakota,KBHE,FM,89.3
Reliance,South Dakota,KTSD,FM,91.1
Sioux Falls,South Dakota,KCSD,FM,90.9
Vermillion,South Dakota,KUSD,FM,89.7
Chattanooga,Tennessee,WUTC,FM,88.1
Cookeville,Tennessee,WHRS,FM,91.7
Dyersberg,Tennessee,WKNQ,FM,90.7
Jackson,Tennessee,WKNP,FM,90.1
Johnson City,Tennessee,WETS,FM,89.5
Knoxville,Tennessee,WUOT,FM,91.9
Madison,Tennessee,WPLN,AM,1430
Memphis,Tennessee,WKNO,FM,91.1
Murfreesboro,Tennessee,WMOT,FM,89.5
Nashville,Tennessee,WPLN,FM,90.3
Tullahoma,Tennessee,WTML,FM,91.5
Abilene,Texas,KACU,FM,89.7
Austin,Texas,KUT,FM,90.5
Beaumont,Texas,KVLU,FM,91.3
College Station,Texas,KAMU,FM,90.9
College Station,Texas,KEOS,FM,89.1
Corpus Christi,Texas,KEDT,FM,90.3
Dallas,Texas,KERA,FM,90.1
Denton,Texas,KNTU,FM,88.1
El Paso,Texas,KTEP,FM,88.5
Harlingen,Texas,KMBH,FM,88.9
Houston,Texas,KUHF,FM,88.7
Ingram,Texas,KTXI,FM,90.1
Lubbock,Texas,KOHM,FM,89.1
Lufkin,Texas,KLDN,FM,88.9
McAllen,Texas,KHID,FM,88.1
Odessa,Texas,KOCV,FM,91.3
Prairie View,Texas,KPVU,FM,91.3
San Angelo,Texas,KUTX,FM,90.1
San Antonio,Texas,KSTX,FM,89.1
Texarkana,Texas,KTXK,FM,91.5
Victoria,Texas,KVRT,FM,90.7
Waco,Texas,KWBU,FM,103.3
Coalville,Utah,KCUA,FM,92.5
Logan,Utah,KUSU,FM,91.5
Salt Lake City,Utah,KCPW,FM,88.3
Salt Lake City,Utah,KPCW,FM,91.9
Salt Lake City,Utah,KUER,FM,90.1
Salt Lake City,Utah,KRCL,FM,90.9
St. Thomas,US Virgin Islands,WVGN,FM,107.3
Bennington,Vermont,WBTN,FM,94.3
Burlington,Vermont,WVPS,FM,107.9
Rutland,Vermont,WRVT,FM,88.7
